Scenario_Number,Solution_Type,First_Solution_Time,Final_Solution_Time
0,1,12,10001
1,1,6,10001
2,2,0,0
3,1,1772,10001
4,2,73,2260
5,1,1,10001
6,1,0,10001
7,1,2,10001
8,1,65,10001
9,1,104,10001
10,1,62,10001
11,2,0,0
12,1,2,10001
13,1,4,10001
14,1,31,10001
15,1,12,10001
16,1,23,10001
17,1,167,10001
18,2,0,1
19,1,141,10001
20,2,0,0
21,1,0,10001
22,1,0,10001
23,1,25,10001
24,1,43,10001
25,1,16,10001
26,1,0,10001
27,2,0,2957
28,1,0,10001
29,2,0,1
30,1,1431,10001
31,1,19,10001
32,2,0,1
33,1,3,10001
34,1,2231,10001
35,2,0,156
36,1,0,10001
37,1,11,10001
38,1,5,10001
39,1,8,10001
40,2,0,0
41,1,128,10001
42,1,111,10001
43,1,0,10001
44,1,31,10001
45,1,455,10001
46,2,0,1
47,1,83,10001
48,1,12,10001
49,1,0,10001
50,1,0,10001
51,1,4,10001
52,2,0,1
53,1,0,10001
54,1,424,10001
55,1,0,10001
56,1,1,10001
57,2,0,376
58,1,0,10001
59,1,889,10001
60,1,1,10001
61,1,10,10001
62,1,67,10001
63,2,0,0
64,1,0,10001
65,1,0,10001
66,1,15,10001
67,1,1,10001
68,1,20,10001
69,1,1,10001
70,1,0,10001
71,1,78,10001
72,2,0,18
73,1,55,10001
74,2,14,1082
75,1,327,10001
76,1,13,10001
77,1,65,10001
78,1,7,10001
79,1,1,10001
80,1,27,10001
81,2,0,711
82,1,93,10001
83,1,1,10001
84,1,19,10001
85,1,0,10001
86,1,0,10001
87,2,0,7058
88,1,27,10001
89,1,0,10001
90,1,408,10001
91,2,0,0
92,1,226,10001
93,1,45,10001
94,2,0,353
95,2,0,0
96,2,0,0
97,1,23,10001
98,2,0,1
99,1,0,10001
100,1,0,10001
101,1,0,10001
102,2,0,132
103,1,115,10001
104,1,164,10001
105,1,6,10001
106,1,0,10001
107,1,127,10001
108,1,41,10001
109,1,14,10001
110,2,0,1
111,1,9,10001
112,1,2168,10001
113,2,0,0
114,1,435,10001
115,1,0,10001
116,1,0,10001
117,2,0,38
118,1,38,10001
119,2,0,0
120,1,3993,10001
121,1,38,10001
122,1,6,10001
123,1,125,10001
124,1,27,10001
125,1,23,10001
126,1,28,10001
127,2,0,8412
128,1,23,10001
129,1,9,10001
130,1,0,10001
131,1,2,10001
132,1,7,10001
133,1,120,10001
134,1,60,10001
135,1,30,10001
136,1,445,10001
137,2,10,15
138,1,10,10001
139,1,13,10001
140,1,7,10001
141,1,7,10001
142,1,1,10001
143,1,10,10001
144,1,423,10001
145,1,55,10001
146,1,13,10001
147,0,10001,10001
148,1,1,10001
149,2,0,1
150,1,133,10001
151,2,0,1
152,2,0,482
153,1,0,10001
154,1,52,10001
155,1,1,10001
156,1,0,10001
157,1,0,10001
158,1,0,10001
159,1,63,10001
160,2,0,958
161,1,9,10001
162,1,0,10001
163,1,252,10001
164,1,5,10001
165,2,0,4057
166,1,6,10001
167,1,27,10001
168,1,4,10001
169,1,4,10001
170,1,0,10001
171,2,1,4
172,2,0,50
173,1,5,10001
174,1,12,10001
175,1,1,10001
176,1,15,10001
177,1,9,10001
178,1,0,10001
179,1,0,10001
180,1,12,10001
181,1,296,10001
182,1,27,10001
183,1,1,10001
184,2,0,13
185,2,0,1
186,1,523,10001
187,1,119,10001
188,1,0,10001
189,1,2,10001
190,1,1,10001
191,1,486,10001
192,1,0,10001
193,1,192,10001
194,1,0,10001
195,1,155,10001
196,1,0,10001
197,2,2,3737
198,1,1,10001
199,2,0,6
200,1,0,10001
201,1,7,10001
202,1,24,10001
203,1,68,10001
204,2,0,1851
205,1,0,10001
206,1,10,10001
207,1,2893,10001
208,1,358,10001
209,1,0,10001
210,2,0,2250
211,2,6,416
212,1,40,10001
213,2,0,0
214,1,16,10001
215,2,0,11
216,1,4,10001
217,2,12,7751
218,1,209,10001
219,1,157,10001
220,1,0,10001
221,1,0,10001
222,1,65,10001
223,1,0,10001
224,1,2,10001
225,1,7,10001
226,0,10001,10001
227,1,51,10001
228,2,43,2449
229,1,95,10001
230,1,46,10001
231,2,0,1
232,1,1,10001
233,1,39,10001
234,1,3315,10001
235,1,418,10001
236,1,1,10001
237,1,1671,10001
238,1,0,10001
239,1,28,10001
240,1,31,10001
241,2,0,4919
242,1,4,10001
243,1,28,10001
244,1,58,10001
245,1,0,10001
246,2,0,1983
247,1,51,10001
248,1,6,10001
249,2,17,2039
250,0,10001,10001
251,1,486,10001
252,2,0,0
253,1,0,10001
254,1,1,10001
255,1,0,10001
256,1,3,10001
257,2,0,1
258,2,0,64
259,2,0,0
260,1,75,10001
261,1,81,10001
262,2,0,8928
263,1,2348,10001
264,2,5,6
265,2,0,0
266,2,0,2292
267,1,10,10001
268,2,0,0
269,1,0,10001
270,1,4,10001
271,2,0,0
272,1,0,10001
273,1,29,10001
274,1,0,10001
275,1,35,10001
276,1,154,10001
277,1,54,10001
278,2,0,0
